         3508955 function calls (3465220 primitive calls) in 14.706 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.027    0.027 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\export\dynamic_shapes.py:1(<module>)
        1    0.000    0.000    0.026    0.026 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\sets\__init__.py:1(<module>)
        1    0.000    0.000    0.026    0.026 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\matrices\expressions\matmul.py:1(<module>)
        1    0.000    0.000    0.026    0.026 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\optim\__init__.py:1(<module>)
    11341    0.023    0.000    0.026    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.026    0.026 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\_import_utils.py:30(import_dill)
      447    0.001    0.000    0.026    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\artist.py:1538(number_of_parameters)
        1    0.000    0.000    0.026    0.026 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\package\__init__.py:1(<module>)
        1    0.000    0.000    0.026    0.026 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\random\_pickle.py:1(<module>)
        1    0.000    0.000    0.026    0.026 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\symbolic_caffe2.py:1(<module>)
        1    0.000    0.000    0.026    0.026 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_code_flow.py:1(<module>)
        1    0.000    0.000    0.026    0.026 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\onnxruntime\quantization\shape_inference.py:1(<module>)
        1    0.000    0.000    0.026    0.026 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\jit\_script.py:1(<module>)
    12939    0.010    0.000    0.025    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\multipledispatch\conflict.py:43(edge)
        1    0.000    0.000    0.025    0.025 c:\Users\genia\Work\segment-anything\segment_anything\modeling\transformer.py:17(__init__)
    53934    0.023    0.000    0.025    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.025    0.025 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\transforms\__init__.py:1(<module>)
       56    0.001    0.000    0.025    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_refs\__init__.py:457(inner)
        1    0.001    0.001    0.025    0.025 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\pyparsing\core.py:1(<module>)
        1    0.000    0.000    0.025    0.025 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\font_manager.py:1(<module>)
 2567/648    0.023    0.000    0.024    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\sre_parse.py:175(getwidth)
5199/5143    0.013    0.000    0.024    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.024    0.024 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_thread_flow.py:1(<module>)
       91    0.001    0.000    0.024    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\dataclasses.py:598(_frozen_get_del_attr)
        1    0.000    0.000    0.024    0.024 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\integrals\__init__.py:1(<module>)
      123    0.001    0.000    0.024    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\_utils.py:170(outer_wrapper)
      238    0.002    0.000    0.024    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\core\function.py:122(arity)
        2    0.000    0.000    0.024    0.012 c:\Users\genia\Work\segment-anything\segment_anything\modeling\transformer.py:110(__init__)
      318    0.002    0.000    0.024    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:1223(__getitem__)
     3144    0.024    0.000    0.024    0.000 {built-in method torch._C._dispatch_has_kernel_for_dispatch_key}
        1    0.000    0.000    0.023    0.023 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\optree\__init__.py:1(<module>)
        1    0.000    0.000    0.023    0.023 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\projections\polar.py:1(<module>)
     6032    0.010    0.000    0.023    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\multipledispatch\conflict.py:12(consistent)
     2667    0.011    0.000    0.023    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\ntpath.py:87(isabs)
        1    0.000    0.000    0.023    0.023 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\core\basic.py:1(<module>)
       37    0.000    0.000    0.023    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\traceback.py:216(extract_stack)
        1    0.000    0.000    0.023    0.023 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\simplify\__init__.py:1(<module>)
     9639    0.023    0.000    0.023    0.000 {method 'search' of 're.Pattern' objects}
      220    0.001    0.000    0.023    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_meta_registrations.py:44(wrapper)
        1    0.000    0.000    0.023    0.023 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\lines.py:1(<module>)
        1    0.000    0.000    0.023    0.023 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\dill\__init__.py:1(<module>)
        1    0.000    0.000    0.023    0.023 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\_meta_registrations.py:1(<module>)
       37    0.002    0.000    0.023    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\traceback.py:338(extract)
        1    0.000    0.000    0.023    0.023 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\symbolic_convert.py:1(<module>)
        1    0.000    0.000    0.022    0.022 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_thread_flow_location.py:1(<module>)
     2326    0.009    0.000    0.022    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\module.py:1711(__setattr__)
      123    0.002    0.000    0.022    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\_utils.py:95(kwonly_to_pos_or_kw)
        1    0.000    0.000    0.022    0.022 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\core\function.py:1(<module>)
        1    0.000    0.000    0.022    0.022 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\export\exported_program.py:1(<module>)
        1    0.000    0.000    0.022    0.022 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\plotting\__init__.py:1(<module>)
      247    0.022    0.000    0.022    0.000 {built-in method nt.listdir}
      103    0.006    0.000    0.021    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\artist.py:170(<listcomp>)
      249    0.000    0.000    0.021    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\linecache.py:36(getlines)
        1    0.001    0.001    0.021    0.021 c:\Users\genia\Work\segment-anything\segment_anything\utils\transforms.py:26(apply_image)
        1    0.000    0.000    0.021    0.021 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\core\multiarray.py:1(<module>)
      108    0.001    0.000    0.021    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\linecache.py:80(updatecache)
    23719    0.010    0.000    0.021    0.000 {built-in method builtins.all}
       68    0.021    0.000    0.021    0.000 {built-in method io.open}
        1    0.000    0.000    0.021    0.021 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\eval_frame.py:1(<module>)
        1    0.000    0.000    0.021    0.021 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\intrinsic\quantized\__init__.py:1(<module>)
     6662    0.010    0.000    0.021    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\ntpath.py:51(normcase)
        1    0.000    0.000    0.021    0.021 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\ao\quantization\quantization_mappings.py:1(<module>)
    35/30    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.021    0.021 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\transforms\transforms.py:1(<module>)
       94    0.002    0.000    0.020    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\__init__.py:1399(_preprocess_data)
    35/30    0.003    0.000    0.020    0.001 {built-in method _imp.exec_dynamic}
    10653    0.015    0.000    0.020    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\enum.py:359(__call__)
       37    0.001    0.000    0.020    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_refs\__init__.py:1012(inner)
       32    0.001    0.000    0.020    0.001 c:\Users\genia\Work\segment-anything\segment_anything\modeling\common.py:25(forward)
     1990    0.011    0.000    0.020    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\enum.py:89(__setitem__)
    14366    0.016    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        1    0.000    0.000    0.020    0.020 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\distributed\__init__.py:1(<module>)
        1    0.000    0.000    0.020    0.020 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_external_properties.py:1(<module>)
       21    0.000    0.000    0.020    0.001 c:\ProgramData\miniconda3\envs\openmmlab\lib\importlib\util.py:73(find_spec)
        1    0.000    0.000    0.020    0.020 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\tqdm\__init__.py:1(<module>)
        1    0.000    0.000    0.020    0.020 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\data\datapipes\iter\callable.py:1(<module>)
     4975    0.011    0.000    0.020    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.020    0.020 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\PIL\ExifTags.py:1(<module>)
      338    0.000    0.000    0.020    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\sre_parse.py:97(closegroup)
     3274    0.003    0.000    0.020    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:515(<genexpr>)
        1    0.000    0.000    0.020    0.020 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\mpmath\libmp\__init__.py:1(<module>)
        1    0.000    0.000    0.019    0.019 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\parallel\__init__.py:1(<module>)
      466    0.019    0.000    0.019    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.019    0.019 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\quantization\__init__.py:1(<module>)
        1    0.000    0.000    0.019    0.019 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\core\overrides.py:1(<module>)
        1    0.000    0.000    0.019    0.019 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\tensor\__init__.py:1(<module>)
     1114    0.009    0.000    0.019    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\dataclasses.py:722(_get_field)
        1    0.000    0.000    0.019    0.019 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\utils\__init__.py:1(<module>)
     4800    0.005    0.000    0.019    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.019    0.019 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\multiprocessing\__init__.py:1(<module>)
        1    0.000    0.000    0.018    0.018 c:\ProgramData\miniconda3\envs\openmmlab\lib\unittest\__init__.py:1(<module>)
      200    0.001    0.000    0.018    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\pyplot.py:165(_copy_docstring_and_deprecators)
      128    0.001    0.000    0.018    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\linear.py:115(forward)
        1    0.000    0.000    0.018    0.018 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\plotting\plot.py:1(<module>)
     2071    0.018    0.000    0.018    0.000 {built-in method torch._C._get_operation_overload}
      437    0.012    0.000    0.018    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\module.py:2162(<dictcomp>)
        1    0.000    0.000    0.018    0.018 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\category.py:1(<module>)
        1    0.000    0.000    0.018    0.018 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_tensor.py:1(<module>)
        1    0.000    0.000    0.018    0.018 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\image.py:1(<module>)
      970    0.001    0.000    0.018    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\artist.py:1544(is_alias)
      242    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      128    0.017    0.000    0.017    0.000 {built-in method torch._C._nn.linear}
        1    0.000    0.000    0.017    0.017 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\package\analyze\__init__.py:1(<module>)
    19242    0.011    0.000    0.017    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:935(_is_dunder)
        1    0.000    0.000    0.017    0.017 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\output_graph.py:1(<module>)
        1    0.000    0.000    0.017    0.017 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\ao\nn\quantized\modules\conv.py:1(<module>)
      100    0.001    0.000    0.017    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\pyplot.py:198(_add_pyplot_note)
        1    0.000    0.000    0.017    0.017 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\onnxruntime\transformers\onnx_utils.py:1(<module>)
        1    0.000    0.000    0.017    0.017 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\mpmath\functions\__init__.py:1(<module>)
        1    0.000    0.000    0.017    0.017 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\simplify\simplify.py:1(<module>)
        1    0.000    0.000    0.017    0.017 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\dateutil\parser\__init__.py:1(<module>)
        1    0.000    0.000    0.017    0.017 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\polys\numberfields\utilities.py:1(<module>)
        1    0.000    0.000    0.017    0.017 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\lib\index_tricks.py:1(<module>)
    15761    0.012    0.000    0.017    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\multipledispatch\conflict.py:7(supercedes)
   149267    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.017    0.017 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\google\protobuf\internal\type_checkers.py:1(<module>)
      113    0.006    0.000    0.016    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\collections\__init__.py:328(namedtuple)
        1    0.000    0.000    0.016    0.016 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\config.py:1(<module>)
        1    0.000    0.000    0.016    0.016 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\opt_einsum\contract.py:1(<module>)
    13551    0.012    0.000    0.016    0.000 {built-in method __new__ of type object at 0x00007FFAA3185EF0}
        1    0.000    0.000    0.016    0.016 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\ntheory\__init__.py:1(<module>)
        1    0.000    0.000    0.016    0.016 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\profiler\__init__.py:1(<module>)
        1    0.000    0.000    0.016    0.016 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\solvers\ode\__init__.py:1(<module>)
  707/706    0.001    0.000    0.016    0.000 {built-in method builtins.next}
    26190    0.016    0.000    0.016    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\inspect.py:1684(_static_getmro)
     4144    0.007    0.000    0.016    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\artist.py:1557(aliased_name)
        1    0.000    0.000    0.016    0.016 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\detection\faster_rcnn.py:1(<module>)
        1    0.000    0.000    0.016    0.016 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\attention\__init__.py:1(<module>)
      390    0.001    0.000    0.016    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\traceback.py:301(line)
        1    0.016    0.016    0.016    0.016 {cvtColor}
    14805    0.016    0.000    0.016    0.000 {built-in method _thread.allocate_lock}
      100    0.002    0.000    0.016    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_refs\__init__.py:500(_make_inplace)
        1    0.000    0.000    0.016    0.016 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\tqdm\cli.py:1(<module>)
        1    0.000    0.000    0.015    0.015 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\transforms\functional.py:378(resize)
        1    0.000    0.000    0.015    0.015 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\mpl_toolkits\mplot3d\axis3d.py:1(<module>)
     2055    0.010    0.000    0.015    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\typing_extensions.py:2731(_collect_type_vars)
    74645    0.015    0.000    0.015    0.000 {method 'endswith' of 'str' objects}
       33    0.000    0.000    0.015    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\library.py:55(__init__)
        1    0.000    0.000    0.015    0.015 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\transforms\_functional_pil.py:238(resize)
        1    0.000    0.000    0.015    0.015 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\transforms\functional.py:1(<module>)
        1    0.000    0.000    0.015    0.015 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\PIL\Image.py:2222(resize)
      944    0.002    0.000    0.015    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:1194(__getitem__)
        1    0.015    0.015    0.015    0.015 {method 'resize' of 'ImagingCore' objects}
      206    0.000    0.000    0.015    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\linecache.py:26(getline)
        1    0.000    0.000    0.015    0.015 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\google\protobuf\internal\decoder.py:1(<module>)
     1691    0.013    0.000    0.015    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_ops.py:100(inner)
        1    0.000    0.000    0.015    0.015 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\jit\_recursive.py:1(<module>)
    23651    0.015    0.000    0.015    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.015    0.015 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\package\analyze\find_first_use_of_broken_modules.py:1(<module>)
        1    0.000    0.000    0.015    0.015 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\core\random.py:1(<module>)
      133    0.009    0.000    0.015    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.015    0.015 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\backends\__init__.py:1(<module>)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\module.py:1(<module>)
      301    0.000    0.000    0.014    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_meta_registrations.py:47(register)
       36    0.000    0.000    0.014    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\contextlib.py:130(__enter__)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\ao\nn\intrinsic\qat\__init__.py:1(<module>)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\video\__init__.py:1(<module>)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\textpath.py:1(<module>)
       32    0.000    0.000    0.014    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\activation.py:695(forward)
      242    0.002    0.000    0.014    0.000 <frozen zipimport>:64(__init__)
       72    0.001    0.000    0.014    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:2247(_make_nmtuple)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\cuda\graphs.py:1(<module>)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\exporter.py:1(<module>)
       32    0.014    0.000    0.014    0.000 {built-in method torch._C._nn.gelu}
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\printing\pretty\__init__.py:1(<module>)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\cm.py:1(<module>)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\onnxruntime\transformers\fusion_utils.py:1(<module>)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\series\limits.py:1(<module>)
        1    0.000    0.000    0.014    0.014 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\pyparsing\common.py:1(<module>)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\symbolic_convert.py:601(InstructionTranslatorBase)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\functions\special\error_functions.py:1(<module>)
     5238    0.007    0.000    0.014    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\inspect.py:1705(_is_type)
       60    0.000    0.000    0.014    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\__init__.py:833(_open_file_or_url)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\polys\domains\algebraicfield.py:1(<module>)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\compat\__init__.py:1(<module>)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\package\package_exporter.py:1(<module>)
       73    0.002    0.000    0.014    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\normalization.py:172(__init__)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\utilities\__init__.py:1(<module>)
        1    0.000    0.000    0.014    0.014 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\pyparsing\common.py:8(pyparsing_common)
     2267    0.006    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\core\symbol.py:1(<module>)
        1    0.000    0.000    0.014    0.014 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\dateutil\parser\_parser.py:1(<module>)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\datasets\flickr.py:1(<module>)
       47    0.000    0.000    0.014    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_prims\__init__.py:441(_make_elementwise_unary_prim)
        1    0.000    0.000    0.014    0.014 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\sets\handlers\union.py:1(<module>)
       33    0.000    0.000    0.013    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\symbolic_convert.py:236(stack_op)
       12    0.000    0.000    0.013    0.001 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\pyparsing\core.py:1076(parse_string)
      305    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\core\numeric.py:1(<module>)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\profiler\profiler.py:1(<module>)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\opt_einsum\backends\__init__.py:1(<module>)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\scale.py:1(<module>)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\tri\__init__.py:1(<module>)
        8    0.000    0.000    0.013    0.002 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\conv.py:70(__init__)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_tool.py:1(<module>)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\distributed\_tensor\ops\utils.py:1(<module>)
    24071    0.011    0.000    0.013    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\sre_parse.py:173(append)
     1113    0.013    0.000    0.013    0.000 {built-in method torch.empty}
        2    0.000    0.000    0.013    0.007 c:\ProgramData\miniconda3\envs\openmmlab\lib\tokenize.py:99(_compile)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\PIL\PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\fx\passes\net_min_base.py:1(<module>)
     2250    0.005    0.000    0.013    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\package\package_importer.py:694(_patched_getfile)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\distributed\_tensor\op_schema.py:1(<module>)
        6    0.000    0.000    0.013    0.002 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\modules\conv.py:428(__init__)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\ao\nn\intrinsic\qat\modules\__init__.py:1(<module>)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\functions\elementary\exponential.py:1(<module>)
      593    0.006    0.000    0.013    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_guards.py:823(detect_fake_mode)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\integrals\transforms.py:1(<module>)
        1    0.000    0.000    0.013    0.013 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\polys\matrices\__init__.py:1(<module>)
